name,all_reviews,popular_tags
METAL GEAR SOLID V: THE PHANTOM PAIN - MB Coin 2000,"Mixed,(22),- 54% of the 22 user reviews for this game are positive.","Sexual Content,Violent,Gore,Action,Adventure"
Lights Out,"Mixed,(22),- 54% of the 22 user reviews for this game are positive.","Free to Play,Action,Adventure,Platformer"
Demon Hunter 4: Riddles of Light,"Mixed,(22),- 54% of the 22 user reviews for this game are positive.","Casual,Adventure,Hidden Object,Point & Click,Female Protagonist,Horror,Singleplayer,Puzzle,Atmospheric,Magic,Story Rich,Visual Novel,Mystery,Fantasy,Indie,Great Soundtrack,2D"
Yatsumitsu Fists of Wrath,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","RPG,Casual,Adventure,Action,Dungeon Crawler,Fantasy,Atmospheric,Funny,Difficult,Dark Fantasy,Dark,Top-Down,Third Person,Action-Adventure,Action RPG,Singleplayer,Indie,Colorful,Cartoony"
Tsundere Idol,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Nudity,Sexual Content,Adventure,Anime,Mature,Visual Novel,2D,Casual,Text-Based,NSFW,Colorful,Cute"
The Musketeers: Victoria's Quest,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Casual,Strategy,Adventure,Simulation,Indie,Time Management,Female Protagonist"
The Collider 2,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Action,Racing,Casual,VR"
Super Treasure Arena,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Action,Indie,Pixel Graphics,Multiplayer,Local Multiplayer"
Star Merc,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Indie,Casual,Adventure,RPG,Action,RPGMaker,Space,2D,Sci-fi,Turn-Based Combat,Early Access,Atmospheric,Singleplayer,Pixel Graphics,Aliens,Fantasy,Open World,Replay Value,Multiple Endings,Conspiracy"
Sniper Ghost Warrior 3 - Season Pass,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Action,Violent"
Rolling Shapes,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Indie,Puzzle,Sci-fi,Difficult,Singleplayer"
Phantom Trigger,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Action,Adventure,Indie,Pixel Graphics"
Origin Space,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Action,Indie,RPG,Space"
Disney Tangled,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Adventure,Action,Family Friendly,Female Protagonist"
Calm Waters: A Point and Click Adventure,"Mixed,(22),- 59% of the 22 user reviews for this game are positive.","Adventure,Indie,Casual,Point & Click"
Zombie Killing Simulator,"Mixed,(22),- 63% of the 22 user reviews for this game are positive.","Early Access,Gore,Action,Violent,Indie,Early Access,Simulation,Strategy,Casual,Zombies,Gun Customization,Hack and Slash,Minigames,Survival,Tower Defense,Post-apocalyptic,Physics,Blood,Mod,Level Editor"
Znkl - 177,"Mixed,(22),- 63% of the 22 user reviews for this game are positive.","Indie,Casual,Puzzle,Space,Singleplayer,2D,Minimalist,Short,Physics,Difficult,Logic,Side Scroller"
Top Hat,"Mixed,(22),- 63% of the 22 user reviews for this game are positive.","Indie,Adventure,Action,Platformer,Pixel Graphics,Retro"
Thirty Years' War,"Mixed,(22),- 63% of the 22 user reviews for this game are positive.","Simulation,Strategy,Historical,Wargame"
Sentris,"Mixed,(22),- 63% of the 22 user reviews for this game are positive.","Indie,Simulation,Rhythm,Puzzle,Experimental,Music"
NIGHTSTAR: Rogue Wings,"Mixed,(22),- 63% of the 22 user reviews for this game are positive.","Early Access,Action,Simulation,Indie,Early Access,Space,Sci-fi,Flight,Arcade"
Little Marisa's Disaster Journey,"Mixed,(22),- 63% of the 22 user reviews for this game are positive.","Indie,Adventure,Puzzle,Multiple Endings,Platformer,Faith"
Blood Bowl 2 - Wood Elves,"Mixed,(22),- 63% of the 22 user reviews for this game are positive.","Strategy,Sports"
Advent,"Mixed,(22),- 63% of the 22 user reviews for this game are positive.","RPG,JRPG,Indie,Turn-Based,RPGMaker"
Wings of Vi Demo,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Action,Adventure,Indie"
Train Simulator: DR BR 86 Loco Add-On,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.",Simulation
Train Simulator: Bristol-Exeter Route Add-On,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.",Simulation
Tkl Online,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","RPG,Indie,Action,Open World,Action RPG,RPGMaker"
STICKMAN BLAST,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Casual,Strategy,Indie"
SKULL FEAST,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Action,Indie,Massively Multiplayer"
SKIPCHASER,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Indie,Action,RPG,Rogue-lite,Twin Stick Shooter,Futuristic,Action RPG"
Raging Justice,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Indie,Action,Violent,Beat 'em up,Co-op,Arcade,Controller,Retro"
Professor Watts Word Search: Into The Ocean,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Strategy,Casual,Indie,Puzzle,Family Friendly,2D,Singleplayer,Relaxing,Text-Based,Point & Click,Choices Matter,Retro,Replay Value,Simulation,Story Rich"
Nancy Drewì§? The Creature of Kapu Cave,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Adventure,Female Protagonist,Point & Click,Mystery,Puzzle"
Jagged Alliance 2 Classic,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Strategy,RPG,Gore,Violent"
Flame of Memory,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Strategy,Indie"
Evertree Inn,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Indie,Adventure,RPG,Choose Your Own Adventure,Text-Based"
Epic Little War Game,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Indie,Strategy,Turn-Based,Turn-Based Strategy"
Energy Balance,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Indie,Casual,Puzzle"
DIASTONE: Memories,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Indie,Adventure,Horror,Story Rich,Atmospheric,Early Access"
Crankies Workshop: Grizzbot Assembly,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Casual,Indie,Strategy,Simulation,Action,Singleplayer,2D,Atmospheric,Cartoony,Colorful,Funny,Puzzle,Family Friendly,Choices Matter,Text-Based,Real-Time,Time Management"
Cosmi-Cave 64,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Free to Play,Casual,Indie,Action,Adventure"
Commanager Tycoon,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Casual,Simulation,Indie,Strategy"
Aidsmoji: The Forbidden Fruit,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Casual,Indie,Action,Adventure,RPG,Psychological Horror,Memes,FMV,Illuminati,Anime"
Adorables,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.","Casual,Indie,Sports,Strategy,Local Multiplayer,Soccer,Multiplayer,Singleplayer,Cute"
18 Wheels of Steel: Convoy,"Mixed,(22),- 68% of the 22 user reviews for this game are positive.",Simulation
BasementVR,"Mixed,(22),- 68% of the 22 user reviews for this software are positive.","Early Access,Design & Illustration,Early Access,Animation & Modeling,Web Publishing,Utilities,VR,Multiplayer"
SCUM,"Mixed,(22,177),- 64% of the 22,177 user reviews for this game are positive.","Early Access,Survival,Open World,Multiplayer,Zombies,Early Access,Massively Multiplayer,Action,Crafting,Realistic,Adventure,Violent,FPS,PvP,Nudity,Singleplayer,Third Person,Gore,Indie,RPG"
La Tale - Evolved,"Mixed,(220),- 50% of the 220 user reviews for this game are positive.","Free to Play,RPG,Massively Multiplayer,Action,Adventure,Casual,Anime,2D,Side Scroller"
Doors,"Mixed,(220),- 60% of the 220 user reviews for this game are positive.","Indie,Adventure,Strategy,Puzzle,Walking Simulator,Atmospheric,Logic,Horror"
My Free Farm 2,"Mixed,(221),- 42% of the 221 user reviews for this game are positive.","Free to Play,Casual,Simulation,Multiplayer,Crafting,Building,Singleplayer,Resource Management,Relaxing,Agriculture,Colorful,Adventure,Cartoony,Clicker,Cute,Mining,3D Vision,Point & Click"
Soccer Manager,"Mixed,(221),- 64% of the 221 user reviews for this game are positive.","Free to Play,Sports,Simulation,Massively Multiplayer,Strategy,Indie,Football,Soccer,Multiplayer"
"RIP - Trilogy??""With the completion of the third title in the RIP series","Mixed,(221),- 65% of the 221 user reviews for this game are positive.","Indie,Casual,Arcade,Shooter,Action,2D,Top-Down,Shoot 'Em Up,Singleplayer"
Star Command Galaxies,"Mixed,(222),- 54% of the 222 user reviews for this game are positive.","Early Access,Simulation,Strategy,Indie,Early Access,Sci-fi,Space,Pixel Graphics"
Pro Cycling Manager 2017,"Mixed,(222),- 60% of the 222 user reviews for this game are positive.","Sports,Simulation,Cycling,Management,Multiplayer"
Bottle,"Mixed,(222),- 60% of the 222 user reviews for this game are positive.","Adventure,Walking Simulator,Casual,First-Person,Singleplayer,Atmospheric,Exploration,Relaxing,Indie,Great Soundtrack,Mystery,Horror,Mature,Noir,Experience"
Escape The Pacific,"Mixed,(222),- 61% of the 222 user reviews for this game are positive.","Early Access,Survival,Multiplayer,Adventure,Action,Crafting,RPG,Building,Simulation,Open World,Early Access,Sandbox,First-Person,Indie,Exploration,Singleplayer,Realistic,Co-op,Underwater,Atmospheric"
Biodrone Battle,"Mixed,(223),- 51% of the 223 user reviews for this game are positive.","Action,Indie,Anime,Retro,Sci-fi,Shoot 'Em Up,2D,Tactical,Top-Down Shooter,Top-Down,Dark,Shooter,Singleplayer,Arcade,Space,Open World,Third Person,Survival,FPS,Platformer"
Call of Duty: Black Ops - Mac Edition,"Mixed,(223),- 60% of the 223 user reviews for this game are positive.","Action,Zombies,Multiplayer,FPS,Shooter,Free to Play"
American Conquest,"Mixed,(223),- 65% of the 223 user reviews for this game are positive.","Strategy,RTS,Historical,Singleplayer"
OMSI 2 Add-On Projekt Gladbeck,"Mixed,(224),- 55% of the 224 user reviews for this game are positive.",Simulation
Dance of Death,"Mixed,(224),- 57% of the 224 user reviews for this game are positive.","Hidden Object,Adventure,Puzzle,Casual,Point & Click,Horror,Singleplayer,Crime,Supernatural,Detective,Mystery,Atmospheric,Great Soundtrack,Mouse only,Dark Fantasy,Indie,Dark,Hand-drawn"
The Flaws of Gravity,"Mixed,(224),- 60% of the 224 user reviews for this game are positive.","Free to Play,Indie,Adventure,Puzzle"
Badiya: Desert Survival,"Mixed,(224),- 62% of the 224 user reviews for this game are positive.","Early Access,Open World,Survival,Procedural Generation,RPG,Adventure,Early Access,Indie,Action,Simulation"
Myst: Masterpiece Edition,"Mixed,(224),- 65% of the 224 user reviews for this game are positive.","Adventure,Point & Click,Puzzle,Classic,Casual,Atmospheric,Exploration,Surreal,Mystery,1990's,Story Rich,First-Person,FMV,Steampunk,Walking Simulator,Masterpiece"
The I of the Dragon,"Mixed,(224),- 67% of the 224 user reviews for this game are positive.","RPG,Dragons,Singleplayer,Simulation"
InCell VR,"Mixed,(224),- 69% of the 224 user reviews for this game are positive.","VR,Free to Play,Racing,Indie,Strategy,Science,Singleplayer,Simulation,Exploration,Sci-fi,Physics,Education,Action,Dynamic Narration,Funny,Comedy"
TransRoad: USA,"Mixed,(225),- 48% of the 225 user reviews for this game are positive.","Simulation,Casual,Strategy,Management"
Don Bradman Cricket 17,"Mixed,(225),- 58% of the 225 user reviews for this game are positive.","Sports,Simulation"
UFO: Afterlight,"Mixed,(225),- 64% of the 225 user reviews for this game are positive.","Strategy,Tactical,Sci-fi,Real-Time with Pause,Indie,Aliens,Singleplayer,Turn-Based,Mars,Turn-Based Strategy,RPG"
Dakar 18,"Mixed,(225),- 64% of the 225 user reviews for this game are positive.","Racing,Simulation,Sports,Adventure,Open World,Offroad"
Dark Void??Zero,"Mixed,(226),- 44% of the 226 user reviews for this game are positive.","Action,Adventure,Platformer,Retro,2D,Singleplayer,Great Soundtrack"
WRC 5 FIA World Rally Championship,"Mixed,(226),- 46% of the 226 user reviews for this game are positive.","Racing,Simulation,Offroad,Multiplayer,Arcade"
Men of War: Assault Squad 2 - Airborne,"Mixed,(226),- 58% of the 226 user reviews for this game are positive.","Strategy,Simulation,Action"
FINAL FANTASY IV: THE AFTER YEARS,"Mixed,(226),- 59% of the 226 user reviews for this game are positive.","RPG,JRPG,Singleplayer,Fantasy,Anime,Turn-Based,Adventure,Story Rich,Classic"
Lunch Truck Tycoon,"Mixed,(226),- 61% of the 226 user reviews for this game are positive.","Indie,Simulation,Management"
Insidia,"Mixed,(226),- 69% of the 226 user reviews for this game are positive.","Free to Play,Strategy,Indie,Turn-Based,PvP,Early Access,Multiplayer,Turn-Based Tactics,Tactical,Singleplayer,Turn-Based Combat,Grid-Based Movement,Turn-Based Strategy,Competitive,Funny,Post-apocalyptic,Replay Value,e-sports,Great Soundtrack,Sci-fi"
Speedball 2 HD,"Mixed,(229),- 69% of the 229 user reviews for this game are positive.","Sports,Action,Indie,Retro,Local Multiplayer,Remake"
Disney?ì¤¡ixar Cars,"Mixed,(229),- 69% of the 229 user reviews for this game are positive.","Racing,Adventure,Open World,Family Friendly,Violent,Anime"
Train Simulator: BR 9F Loco Add-On,"Mixed,(23),- 43% of the 23 user reviews for this game are positive.","Simulation,Open World,Trains,Building,Driving,Sandbox,Realistic,Singleplayer,Casual,Level Editor,City Builder,Family Friendly,TrackIR,Atmospheric,Sports,Relaxing,Moddable"
The Mark of Robot,"Mixed,(23),- 43% of the 23 user reviews for this game are positive.","Free to Play,Indie,Adventure,Action,Story Rich,Atmospheric,Great Soundtrack,Linear,FPS"
RutonyChat - Restream Server,"Mixed,(23),- 43% of the 23 user reviews for this game are positive.","Utilities,Video Production,Web Publishing"
Dead Rising 4 - Season Pass,"Mixed,(23),- 43% of the 23 user reviews for this game are positive.","Gore,Action,Violent"
Train Simulator: East Coast Main Line Modern: York - Peterborough Route Add-On,"Mixed,(23),- 47% of the 23 user reviews for this game are positive.",Simulation
Small Sister,"Mixed,(23),- 47% of the 23 user reviews for this game are positive.","Casual,Sexual Content,Indie,Strategy,Simulation,Mature,Choices Matter,Isometric,Dating Sim,Multiple Endings,Romance,Replay Value,Female Protagonist,Funny,2D"
Poly Towns,"Mixed,(23),- 47% of the 23 user reviews for this game are positive.","Casual,Strategy,Indie,City Builder"
Police Quest: SWAT,"Mixed,(23),- 47% of the 23 user reviews for this game are positive.","Strategy,Action,Simulation,FMV"
Europa Universalis IV: Native Americans Unit Pack,"Mixed,(23),- 47% of the 23 user reviews for this game are positive.","Strategy,Simulation"
NORMALIZATOR,"Mixed,(23),- 47% of the 23 user reviews for this software are positive.","Design & Illustration,Utilities,Photo Editing,Animation & Modeling,Software"
The Cameron Files: The Secret at Loch Ness,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Adventure,Casual,Point & Click"
Space Legends: At the Edge of the Universe,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Casual,Adventure,Hidden Object,Point & Click,Sci-fi"
Simple Ball: Extended Edition,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Casual,Indie"
Shadow of the Tomb Raider - The Serpent's Heart,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Action,Adventure"
Princess Kaguya: Legend of the Moon Warrior,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Action,Beat 'em up,Female Protagonist,Anime"
Glitchball,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Free to Play,Indie,Casual,Sports"
Floresia I : Intemporel,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Action,Adventure,RPG,Indie"
CO-OP : Decrypted,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Indie,Adventure,Co-op,Side Scroller,Sci-fi,Casual,Puzzle-Platformer"
Chamber of Darkness,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Indie,Adventure,2D,Singleplayer,Platformer,Atmospheric,Dark,Pixel Graphics,Violent,Medieval,Story Rich,Great Soundtrack,PvP,Difficult,Co-op"
After Reset RPG Demo,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","RPG,Adventure,Indie"
1942: The Pacific Air War,"Mixed,(23),- 52% of the 23 user reviews for this game are positive.","Simulation,Strategy,World War II,Flight"
Russian SuperHero Dead Ivan,"Mixed,(23),- 56% of the 23 user reviews for this game are positive.","Indie,Casual"
RPG Maker MV - POP! Horror City,"Mixed,(23),- 56% of the 23 user reviews for this game are positive.","Design & Illustration,Web Publishing"
OVERKILL's The Walking Dead: Deluxe Upgrade,"Mixed,(23),- 56% of the 23 user reviews for this game are positive.","Violent,Gore,Action,Zombies"
Idle Chess Story,"Mixed,(23),- 56% of the 23 user reviews for this game are positive.","Early Access,Early Access,Free to Play,Strategy,Indie,Casual"
Fatherì¨ˆs Island,"Mixed,(23),- 56% of the 23 user reviews for this game are positive.","Indie,Adventure,Horror,Comedy,Psychological Horror,Dark Comedy"
Desire,"Mixed,(23),- 56% of the 23 user reviews for this game are positive.","Adventure,Sexual Content,Indie,Point & Click"
Crash And Burn Racing,"Mixed,(23),- 56% of the 23 user reviews for this game are positive.","Racing,Indie"
Clockwork,"Mixed,(23),- 56% of the 23 user reviews for this game are positive.","Puzzle-Platformer,Action,Casual,Adventure,Indie,Strategy,Steampunk,Dystopian,Platformer"
Blue Whale,"Mixed,(23),- 56% of the 23 user reviews for this game are positive.","Adventure,Indie,Violent,RPGMaker,Female Protagonist,Anime,Psychological Horror,Story Rich,Memes,Atmospheric,Drama,Cute,Horror,Pixel Graphics"
Fractasia,"Mixed,(23),- 56% of the 23 user reviews for this software are positive.",Design & Illustration
Wooden Floor,"Mixed,(23),- 60% of the 23 user reviews for this game are positive.","Adventure,Indie,Mystery,Horror"
Will Fight for Food: Super Actual Sellout: Game of the Hour,"Mixed,(23),- 60% of the 23 user reviews for this game are positive.","Action,Indie,RPG,Beat 'em up,Illuminati,Funny"
Retro Football Boss,"Mixed,(23),- 60% of the 23 user reviews for this game are positive.","Early Access,Simulation,Sports,Strategy,Early Access,Indie,Management,Football,Retro"
Ramen,"Mixed,(23),- 60% of the 23 user reviews for this game are positive.","Casual,Simulation,Management,Retro,Story Rich"
Meridian: Age of Invention,"Mixed,(23),- 60% of the 23 user reviews for this game are positive.","Casual,Time Management,Singleplayer,Resource Management"
FSX Steam Edition: Moving Map Add-On,"Mixed,(23),- 60% of the 23 user reviews for this game are positive.",Simulation
Deadlands Noir - That Old Time Religion,"Mixed,(23),- 60% of the 23 user reviews for this game are positive.","Indie,Casual,Visual Novel,Choose Your Own Adventure,Noir,Story Rich,Great Soundtrack,Atmospheric,Singleplayer,Soundtrack,Zombies,Demons,Werewolves,Alternate History"
Crankies Workshop: Lerpbot Assembly,"Mixed,(23),- 60% of the 23 user reviews for this game are positive.","Indie,Casual,Strategy,Action,Simulation,Singleplayer,2D,Atmospheric,Puzzle,Colorful,Cartoony,Funny,Sequel,Family Friendly,Replay Value,Point & Click"
Big Buck Hunter Arcade,"Mixed,(23),- 60% of the 23 user reviews for this game are positive.","Action,Simulation,Sports,Strategy,Hunting"
QLORB,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Strategy,Action,Indie,Casual,Puzzle,2D,Singleplayer,Difficult,Family Friendly,Minimalist,Time Management,Score Attack,Replay Value,Science,Relaxing,Retro,Arcade"
Power-Up,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Indie,Action,Shoot 'Em Up,Side Scroller"
National Rugby Manager,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Simulation,Action,Strategy,Casual,Sports"
Nancy Drewì§? Trail of the Twister,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Adventure,Point & Click,Female Protagonist,Mystery,Puzzle,Detective"
Let's Bowl VR - Bowling Game,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Early Access,Early Access,Indie,Simulation,Sports,Casual,VR"
Kira,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Free to Play,Casual,Simulation,VR"
Jim Power -The Lost Dimension,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Action,Adventure,Platformer,Retro"
Ghostdream,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Adventure,Indie,Casual,Point & Click"
Epic Quest of the 4 Crystals,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","RPG,Indie,Adventure,RPGMaker,Casual,Strategy,Story Rich,Anime,JRPG"
Cybarian: The Time Travelling Warrior,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Action,Indie,Adventure,Sci-fi,Post-apocalyptic,Pixel Graphics,Retro,2D,Controller,Platformer,Singleplayer,Arcade,Atmospheric,Great Soundtrack,Puzzle-Platformer,Difficult,Ninja,Classic,Cult Classic"
CoH 2 - German Commander: Elite Troops Doctrine,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.",Strategy
Assassin???Creedì§?IV Black Flag??- Season Pass,"Mixed,(23),- 65% of the 23 user reviews for this game are positive.","Action,Adventure"
Desktop Audio Visualizer,"Mixed,(23),- 65% of the 23 user reviews for this software are positive.","Utilities,Animation & Modeling,Audio Production"
War Thunder - Plagis' Spitfire LF Mk. IX,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Action,Massively Multiplayer,Simulation,Free to Play"
Trials of the Illuminati: Cityscape Animated Jigsaws,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Casual,Indie,Simulation,Strategy,Puzzle"
Toro,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Simulation,Action,Sports,Indie"
SpedV,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.",Simulation
Qasir al-Wasat: International Edition,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Indie,Action,Adventure,2D,Stealth,Villain Protagonist,Story Rich,Difficult,Female Protagonist,Multiple Endings,Fantasy"
Munch VR,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Casual,Indie,Family Friendly,Adventure,Cute,VR"
Laraan,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Action,Adventure,Indie,Exploration"
Knights of Pen and Paper - Haunted Fall,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","RPG,Indie"
Kings under the hill,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Indie,Strategy,Pixel Graphics,Singleplayer,RTS,Atmospheric,Replay Value,Character Customization"
Kickoff Legends,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Free to Play,Sports,Massively Multiplayer,Simulation,Casual,Management"
Ironclads 2: War of the Pacific,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Simulation,Strategy,Naval"
imprint-X,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Indie,Casual,Adventure,Puzzle,Space,Sci-fi,Robots,Exploration,Atmospheric,Singleplayer,Dark,Cute,Survival,Surreal,Colorful,Relaxing,Great Soundtrack,Mystery"
Hypnotic Experience - ANOIX,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Action,Free to Play,Indie,Arcade,Family Friendly,Singleplayer,Casual,Music,Rhythm,Great Soundtrack,Colorful,Side Scroller,Difficult,Funny,Character Customization,Strategy"
Hunter's Legacy,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Action,Indie,Adventure,Platformer,Metroidvania"
Europa Universalis IV: Songs of the New World,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Strategy,Simulation"
Deep Sorrow,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Adventure,Indie,Horror,First-Person,Walking Simulator,Dark,Short,Psychological Horror,Puzzle,Survival,Atmospheric,Survival Horror,Singleplayer"
Children of Colossus,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Action,Indie,VR"
Broccoli Bob,"Mixed,(23),- 69% of the 23 user reviews for this game are positive.","Indie,Casual,Adventure,Platformer,2D,Family Friendly"
ShapeLab,"Mixed,(23),- 69% of the 23 user reviews for this software are positive.","Early Access,Animation & Modeling,Design & Illustration,Early Access,VR"
Quake Champions,"Mixed,(23,394),- 68% of the 23,394 user reviews for this game are positive.","Early Access,Early Access,FPS,Arena Shooter,Multiplayer,Free to Play,Gore,Fast-Paced,Action,Shooter,First-Person,Violent,Competitive,e-sports,Difficult,Classic,Sci-fi,Horror,Lovecraftian,Singleplayer"
Call of Dutyì§? Black Ops III,"Mixed,(23,982),- 64% of the 23,982 user reviews for this game are positive.","Multiplayer,FPS,Zombies,Shooter,Action,First-Person,Co-op,Singleplayer,Illuminati,Futuristic,Robots,Sci-fi,Gore,Great Soundtrack,Story Rich,Atmospheric,Quick-Time Events,Parkour,Simulation,Open World"
Construction Simulator 2 US - Pocket Edition,"Mixed,(230),- 60% of the 230 user reviews for this game are positive.","Simulation,Building,Multiplayer,Singleplayer"
PAC-MAN??CHAMPIONSHIP EDITION 2,"Mixed,(230),- 63% of the 230 user reviews for this game are positive.","Casual,Arcade,Great Soundtrack,Classic"
Pyrite Heart,"Mixed,(230),- 66% of the 230 user reviews for this game are positive.","Otome,Visual Novel,Anime,Indie,Female Protagonist,Dating Sim,Nudity,Singleplayer"
Civilization VI - Khmer and Indonesia Civilization & Scenario Pack,"Mixed,(231),- 48% of the 231 user reviews for this game are positive.",Strategy
Arcfall,"Mixed,(231),- 56% of the 231 user reviews for this game are positive.","Early Access,Massively Multiplayer,RPG,Early Access,Free to Play,MMORPG"
Affected Zone Tactics,"Mixed,(231),- 57% of the 231 user reviews for this game are positive.","Free to Play,Strategy,Massively Multiplayer,Turn-Based,Tactical,Turn-Based Strategy,Turn-Based Tactics,Isometric,Sci-fi,Post-apocalyptic"
Space Colony: Steam Edition,"Mixed,(231),- 69% of the 231 user reviews for this game are positive.","Strategy,Simulation,Base Building,Space,Sci-fi,RTS,City Builder,Singleplayer,Space Sim,Resource Management,Building,Sandbox,Funny,Female Protagonist,Comedy,Great Soundtrack,Romance,Family Friendly"
Pure Pool,"Mixed,(232),- 47% of the 232 user reviews for this game are positive.","Simulation,Sports,Pool,Casual,Multiplayer"
Eagle Flight,"Mixed,(232),- 63% of the 232 user reviews for this game are positive.","Simulation,Action,VR,Flight"
Soccer Manager 2019,"Mixed,(232),- 67% of the 232 user reviews for this game are positive.","Sports,Soccer,Management,Free to Play,Simulation,Football"
A Wizard's Lizard,"Mixed,(232),- 67% of the 232 user reviews for this game are positive.","Rogue-like,Indie,RPG,Action,Rogue-lite,Perma Death,Procedural Generation,2D,Difficult,Singleplayer,Adventure,Dungeon Crawler,Fantasy"
Purino Party,"Mixed,(232),- 68% of the 232 user reviews for this game are positive.","Nudity,Anime,Sexual Content,Visual Novel,Puzzle,Casual,Cute,Mature,Adventure,Dating Sim,Match 3,Psychological Horror"
Distant Star: Revenant Fleet,"Mixed,(233),- 62% of the 233 user reviews for this game are positive.","Indie,Strategy,Action,Space,Sci-fi,Procedural Generation,Rogue-like,Singleplayer,RTS,Tactical,2D,Atmospheric,Pirates,Rogue-lite,Replay Value,Top-Down,Great Soundtrack,Real Time Tactics,Real-Time,Class-Based"
Middle-earth: Shadow of Mordor - The Bright Lord,"Mixed,(235),- 52% of the 235 user reviews for this game are positive.","Action,Adventure"
Eisenhorn: XENOS,"Mixed,(235),- 53% of the 235 user reviews for this game are positive.","Action,Adventure,Warhammer 40K,Games Workshop"
Monster Hunter: World - Deluxe Kit,"Mixed,(235),- 62% of the 235 user reviews for this game are positive.",Action
International Snooker,"Mixed,(235),- 62% of the 235 user reviews for this game are positive.","Sports,Casual,Simulation,Pool,Multiplayer"
The Guild Gold Edition,"Mixed,(235),- 69% of the 235 user reviews for this game are positive.","Strategy,Simulation,Economy,Medieval,Management"
