id,all_reviews,name,URL,popular_tags
29,"Mostly Positive,(44),- 70% of the 44 user reviews for this game are positive.",Who Is This Man,https://store.steampowered.com/app/1008510/Who_Is_This_Man/,"Early Access,Indie,Early Access,Action,Strategy,Adventure,Simulation"
30,"Overwhelmingly Positive,(1,880),- 95% of the 1,880 user reviews for this game are positive.",Wet Girl,https://store.steampowered.com/app/1008710/Wet_Girl/,"Sexual Content,Nudity,FPS,Casual,Anime,Indie,Mature,RPG,Adventure,Psychological Horror"
31,"Positive,(20),- 90% of the 20 user reviews for this game are positive.",Shards of Infinity,https://store.steampowered.com/app/1008800/Shards_of_Infinity/,"Strategy,Card Game"
32,"Very Positive,(17,438),- 92% of the 17,438 user reviews for this game are positive.",Call of Duty: World at War,https://store.steampowered.com/app/10090/Call_of_Duty_World_at_War/,"Zombies,World War II,FPS,Multiplayer,Action,Shooter,Co-op,Moddable,First-Person,Singleplayer,War,Online Co-Op,Gore,Historical,Survival,Classic,Tanks,Great Soundtrack,Adventure,Horror"
33,"Mixed,(49),- 51% of the 49 user reviews for this game are positive.",Last Days Motel,https://store.steampowered.com/app/1009040/Last_Days_Motel/,"Early Access,Free to Play,Adventure,Simulation,Early Access,RPG,Strategy"
34,"Positive,(36),- 97% of the 36 user reviews for this game are positive.",Sankaku Renai: Love Triangle Trouble,https://store.steampowered.com/app/1009450/Sankaku_Renai_Love_Triangle_Trouble/,"Sexual Content,Nudity,Visual Novel,Simulation,Adventure,Casual,Anime"
35,"Very Positive,(75),- 93% of the 75 user reviews for this software are positive.",3DCoat 4.8,https://store.steampowered.com/app/100980/3DCoat_48/,Animation & Modeling
36,"Positive,(31),- 80% of the 31 user reviews for this game are positive.",Once10,https://store.steampowered.com/app/1009950/Once10/,"Free to Play,Adventure,Indie,Visual Novel"
37,"Mostly Positive,(121),- 78% of the 121 user reviews for this game are positive.",King's Quest??Collection,https://store.steampowered.com/app/10100/Kings_Quest_Collection/,"Adventure,Point & Click,Classic,Retro,Fantasy,Pixel Graphics,1990's,1980s,Masterpiece,Female Protagonist,Puzzle"
38,"Positive,(29),- 96% of the 29 user reviews for this game are positive.",Train Sim World®: Tees Valley Line: Darlington ??Saltburn-by-the-Sea Route Add-On,https://store.steampowered.com/app/1010134/Train_Sim_World_Tees_Valley_Line_Darlington__SaltburnbytheSea_Route_AddOn/,Simulation
39,"Very Positive,(86),- 90% of the 86 user reviews for this game are positive.",Sword Art Online: Fatal Bullet - Dissonance Of The Nexus Expansion,https://store.steampowered.com/app/1010220/Sword_Art_Online_Fatal_Bullet__Dissonance_Of_The_Nexus_Expansion/,"Action,RPG,Anime"
40,"Positive,(39),- 97% of the 39 user reviews for this game are positive.",Changeling,https://store.steampowered.com/app/1010240/Changeling/,"Casual,Indie,Simulation,Otome,Female Protagonist,Fantasy,Visual Novel"
41,"Mixed,(149),- 67% of the 149 user reviews for this game are positive.",Nether: The Untold Chapter,https://store.steampowered.com/app/1010270/Nether_The_Untold_Chapter/,"Action,Massively Multiplayer,Adventure,Violent,Gore,Survival"
42,"Very Positive,(59),- 94% of the 59 user reviews for this game are positive.",Dungeon Dreams,https://store.steampowered.com/app/1010670/Dungeon_Dreams/,"RPG,Anime,JRPG,Dating Sim,RPGMaker,Fantasy,City Builder,Dungeon Crawler,Simulation,Rogue-lite,Rogue-like"
43,"Mixed,(86),- 59% of the 86 user reviews for this game are positive.",Hide and Seek,https://store.steampowered.com/app/1010860/Hide_and_Seek/,"Action,Casual,Indie,Massively Multiplayer,RPG,Multiplayer,Funny,Team-Based,Stealth,Early Access,Co-op,Pixel Graphics,Online Co-Op,Atmospheric,Family Friendly,Fantasy,Strategy,Survival,Fast-Paced,Beautiful"
44,"Mostly Positive,(141),- 78% of the 141 user reviews for this game are positive.",Space Quest??Collection,https://store.steampowered.com/app/10110/Space_Quest_Collection/,"Adventure,Point & Click,Classic,Comedy,Sci-fi,Retro,Space,1990's,Pixel Graphics,1980s,Singleplayer,Third Person,Old School"
